PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=294 ttl=63 time=162 ms
64 bytes from 10.0.2.22: icmp_seq=295 ttl=63 time=209 ms
64 bytes from 10.0.2.22: icmp_seq=296 ttl=63 time=159 ms
64 bytes from 10.0.2.22: icmp_seq=297 ttl=63 time=323 ms
64 bytes from 10.0.2.22: icmp_seq=298 ttl=63 time=331 ms
64 bytes from 10.0.2.22: icmp_seq=299 ttl=63 time=227 ms
64 bytes from 10.0.2.22: icmp_seq=300 ttl=63 time=171 ms
64 bytes from 10.0.2.22: icmp_seq=301 ttl=63 time=171 ms
64 bytes from 10.0.2.22: icmp_seq=302 ttl=63 time=164 ms
64 bytes from 10.0.2.22: icmp_seq=303 ttl=63 time=166 ms
64 bytes from 10.0.2.22: icmp_seq=304 ttl=63 time=168 ms
64 bytes from 10.0.2.22: icmp_seq=305 ttl=63 time=171 ms
64 bytes from 10.0.2.22: icmp_seq=306 ttl=63 time=165 ms
64 bytes from 10.0.2.22: icmp_seq=307 ttl=63 time=166 ms
64 bytes from 10.0.2.22: icmp_seq=308 ttl=63 time=269 ms
64 bytes from 10.0.2.22: icmp_seq=309 ttl=63 time=690 ms
64 bytes from 10.0.2.22: icmp_seq=310 ttl=63 time=591 ms
64 bytes from 10.0.2.22: icmp_seq=311 ttl=63 time=169 ms
64 bytes from 10.0.2.22: icmp_seq=312 ttl=63 time=165 ms
64 bytes from 10.0.2.22: icmp_seq=313 ttl=63 time=171 ms
64 bytes from 10.0.2.22: icmp_seq=314 ttl=63 time=172 ms
64 bytes from 10.0.2.22: icmp_seq=315 ttl=63 time=179 ms
64 bytes from 10.0.2.22: icmp_seq=316 ttl=63 time=176 ms
64 bytes from 10.0.2.22: icmp_seq=317 ttl=63 time=180 ms
64 bytes from 10.0.2.22: icmp_seq=318 ttl=63 time=184 ms
64 bytes from 10.0.2.22: icmp_seq=319 ttl=63 time=182 ms
64 bytes from 10.0.2.22: icmp_seq=320 ttl=63 time=181 ms
64 bytes from 10.0.2.22: icmp_seq=321 ttl=63 time=184 ms
64 bytes from 10.0.2.22: icmp_seq=322 ttl=63 time=187 ms
64 bytes from 10.0.2.22: icmp_seq=323 ttl=63 time=185 ms
64 bytes from 10.0.2.22: icmp_seq=324 ttl=63 time=183 ms
64 bytes from 10.0.2.22: icmp_seq=325 ttl=63 time=186 ms
64 bytes from 10.0.2.22: icmp_seq=326 ttl=63 time=189 ms
64 bytes from 10.0.2.22: icmp_seq=327 ttl=63 time=193 ms
64 bytes from 10.0.2.22: icmp_seq=328 ttl=63 time=184 ms
64 bytes from 10.0.2.22: icmp_seq=329 ttl=63 time=277 ms
64 bytes from 10.0.2.22: icmp_seq=330 ttl=63 time=177 ms
64 bytes from 10.0.2.22: icmp_seq=331 ttl=63 time=185 ms
64 bytes from 10.0.2.22: icmp_seq=332 ttl=63 time=183 ms
64 bytes from 10.0.2.22: icmp_seq=333 ttl=63 time=208 ms
64 bytes from 10.0.2.22: icmp_seq=334 ttl=63 time=218 ms
64 bytes from 10.0.2.22: icmp_seq=335 ttl=63 time=196 ms
64 bytes from 10.0.2.22: icmp_seq=336 ttl=63 time=188 ms
64 bytes from 10.0.2.22: icmp_seq=337 ttl=63 time=192 ms
64 bytes from 10.0.2.22: icmp_seq=338 ttl=63 time=196 ms
64 bytes from 10.0.2.22: icmp_seq=339 ttl=63 time=196 ms
64 bytes from 10.0.2.22: icmp_seq=340 ttl=63 time=195 ms
64 bytes from 10.0.2.22: icmp_seq=341 ttl=63 time=192 ms
64 bytes from 10.0.2.22: icmp_seq=342 ttl=63 time=196 ms
64 bytes from 10.0.2.22: icmp_seq=343 ttl=63 time=190 ms
64 bytes from 10.0.2.22: icmp_seq=344 ttl=63 time=191 ms
64 bytes from 10.0.2.22: icmp_seq=345 ttl=63 time=194 ms
64 bytes from 10.0.2.22: icmp_seq=346 ttl=63 time=190 ms
64 bytes from 10.0.2.22: icmp_seq=347 ttl=63 time=291 ms
64 bytes from 10.0.2.22: icmp_seq=348 ttl=63 time=323 ms
64 bytes from 10.0.2.22: icmp_seq=349 ttl=63 time=230 ms
64 bytes from 10.0.2.22: icmp_seq=350 ttl=63 time=199 ms
64 bytes from 10.0.2.22: icmp_seq=351 ttl=63 time=201 ms
64 bytes from 10.0.2.22: icmp_seq=352 ttl=63 time=197 ms
64 bytes from 10.0.2.22: icmp_seq=353 ttl=63 time=269 ms
64 bytes from 10.0.2.22: icmp_seq=354 ttl=63 time=272 ms
64 bytes from 10.0.2.22: icmp_seq=355 ttl=63 time=200 ms
64 bytes from 10.0.2.22: icmp_seq=356 ttl=63 time=196 ms
64 bytes from 10.0.2.22: icmp_seq=357 ttl=63 time=201 ms
64 bytes from 10.0.2.22: icmp_seq=358 ttl=63 time=200 ms
64 bytes from 10.0.2.22: icmp_seq=359 ttl=63 time=482 ms
64 bytes from 10.0.2.22: icmp_seq=360 ttl=63 time=487 ms
64 bytes from 10.0.2.22: icmp_seq=361 ttl=63 time=200 ms
64 bytes from 10.0.2.22: icmp_seq=362 ttl=63 time=199 ms
64 bytes from 10.0.2.22: icmp_seq=363 ttl=63 time=205 ms
64 bytes from 10.0.2.22: icmp_seq=364 ttl=63 time=209 ms
64 bytes from 10.0.2.22: icmp_seq=365 ttl=63 time=206 ms
64 bytes from 10.0.2.22: icmp_seq=366 ttl=63 time=206 ms
64 bytes from 10.0.2.22: icmp_seq=367 ttl=63 time=204 ms
64 bytes from 10.0.2.22: icmp_seq=368 ttl=63 time=203 ms
