PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=416 ttl=63 time=6955 ms
64 bytes from 10.0.2.22: icmp_seq=417 ttl=63 time=6853 ms
64 bytes from 10.0.2.22: icmp_seq=418 ttl=63 time=6753 ms
64 bytes from 10.0.2.22: icmp_seq=419 ttl=63 time=6650 ms
64 bytes from 10.0.2.22: icmp_seq=420 ttl=63 time=6548 ms
64 bytes from 10.0.2.22: icmp_seq=421 ttl=63 time=6445 ms
64 bytes from 10.0.2.22: icmp_seq=422 ttl=63 time=6336 ms
64 bytes from 10.0.2.22: icmp_seq=423 ttl=63 time=6235 ms
64 bytes from 10.0.2.22: icmp_seq=424 ttl=63 time=6133 ms
64 bytes from 10.0.2.22: icmp_seq=425 ttl=63 time=6031 ms
64 bytes from 10.0.2.22: icmp_seq=426 ttl=63 time=5929 ms
64 bytes from 10.0.2.22: icmp_seq=427 ttl=63 time=5825 ms
64 bytes from 10.0.2.22: icmp_seq=428 ttl=63 time=5723 ms
64 bytes from 10.0.2.22: icmp_seq=429 ttl=63 time=5622 ms
64 bytes from 10.0.2.22: icmp_seq=430 ttl=63 time=5519 ms
64 bytes from 10.0.2.22: icmp_seq=431 ttl=63 time=5418 ms
64 bytes from 10.0.2.22: icmp_seq=432 ttl=63 time=5316 ms
64 bytes from 10.0.2.22: icmp_seq=433 ttl=63 time=5214 ms
64 bytes from 10.0.2.22: icmp_seq=434 ttl=63 time=5112 ms
64 bytes from 10.0.2.22: icmp_seq=435 ttl=63 time=5009 ms
64 bytes from 10.0.2.22: icmp_seq=436 ttl=63 time=4907 ms
64 bytes from 10.0.2.22: icmp_seq=437 ttl=63 time=4804 ms
64 bytes from 10.0.2.22: icmp_seq=438 ttl=63 time=4701 ms
64 bytes from 10.0.2.22: icmp_seq=439 ttl=63 time=4597 ms
64 bytes from 10.0.2.22: icmp_seq=440 ttl=63 time=4491 ms
64 bytes from 10.0.2.22: icmp_seq=441 ttl=63 time=4387 ms
64 bytes from 10.0.2.22: icmp_seq=442 ttl=63 time=4286 ms
64 bytes from 10.0.2.22: icmp_seq=443 ttl=63 time=4183 ms
64 bytes from 10.0.2.22: icmp_seq=444 ttl=63 time=4081 ms
64 bytes from 10.0.2.22: icmp_seq=445 ttl=63 time=3976 ms
64 bytes from 10.0.2.22: icmp_seq=446 ttl=63 time=3869 ms
64 bytes from 10.0.2.22: icmp_seq=447 ttl=63 time=3770 ms
64 bytes from 10.0.2.22: icmp_seq=448 ttl=63 time=3667 ms
64 bytes from 10.0.2.22: icmp_seq=449 ttl=63 time=3565 ms
64 bytes from 10.0.2.22: icmp_seq=450 ttl=63 time=3463 ms
64 bytes from 10.0.2.22: icmp_seq=451 ttl=63 time=3361 ms
64 bytes from 10.0.2.22: icmp_seq=483 ttl=63 time=150 ms
64 bytes from 10.0.2.22: icmp_seq=484 ttl=63 time=233 ms
64 bytes from 10.0.2.22: icmp_seq=485 ttl=63 time=255 ms
64 bytes from 10.0.2.22: icmp_seq=486 ttl=63 time=165 ms
64 bytes from 10.0.2.22: icmp_seq=487 ttl=63 time=74.0 ms
64 bytes from 10.0.2.22: icmp_seq=488 ttl=63 time=54.1 ms
64 bytes from 10.0.2.22: icmp_seq=489 ttl=63 time=49.7 ms
64 bytes from 10.0.2.22: icmp_seq=490 ttl=63 time=52.5 ms
64 bytes from 10.0.2.22: icmp_seq=491 ttl=63 time=236 ms
64 bytes from 10.0.2.22: icmp_seq=492 ttl=63 time=206 ms
64 bytes from 10.0.2.22: icmp_seq=493 ttl=63 time=102 ms
64 bytes from 10.0.2.22: icmp_seq=494 ttl=63 time=56.0 ms
64 bytes from 10.0.2.22: icmp_seq=495 ttl=63 time=190 ms
64 bytes from 10.0.2.22: icmp_seq=496 ttl=63 time=150 ms
64 bytes from 10.0.2.22: icmp_seq=497 ttl=63 time=104 ms
64 bytes from 10.0.2.22: icmp_seq=498 ttl=63 time=129 ms
64 bytes from 10.0.2.22: icmp_seq=499 ttl=63 time=130 ms
64 bytes from 10.0.2.22: icmp_seq=500 ttl=63 time=89.0 ms
64 bytes from 10.0.2.22: icmp_seq=501 ttl=63 time=366 ms
64 bytes from 10.0.2.22: icmp_seq=502 ttl=63 time=236 ms
64 bytes from 10.0.2.22: icmp_seq=503 ttl=63 time=612 ms
